Graph,Weight,Time
crd1000.mst,6154,417.4383
crd1001.mst,6963,349.8916
crd1002.mst,6791,324.7805
crd1003.mst,7002,283.6503
crd1004.mst,6895,289.0835
crd1005.mst,6409,291.3551
crd1006.mst,6217,292.9313
crd1007.mst,7088,287.0394
crd1008.mst,6490,292.8829
crd1009.mst,6575,293.7554
crd300.mst,3624,0.9374
crd301.mst,3268,0.9209
crd302.mst,3989,0.9012
crd303.mst,3849,0.897
crd304.mst,3918,0.9649
crd305.mst,3765,0.9494
crd306.mst,3792,0.9445
crd307.mst,3917,0.9628
crd308.mst,3700,0.9189
crd309.mst,3716,0.9172
crd500.mst,4910,9.9094
crd501.mst,5111,10.2163
crd502.mst,4877,10.1768
crd503.mst,4532,9.7527
crd504.mst,4712,9.3047
crd505.mst,4875,9.8423
crd506.mst,4667,9.796
crd507.mst,4740,9.7435
crd508.mst,4981,10.3665
crd509.mst,4587,10.1009
crd700.mst,5761,52.2479
crd701.mst,5821,48.4856
crd702.mst,6141,50.0127
crd703.mst,5845,47.3807
crd704.mst,5558,50.3917
crd705.mst,5829,49.6366
crd706.mst,6054,50.8428
crd707.mst,5956,49.2473
crd708.mst,5772,48.9231
crd709.mst,5474,49.2993
graphe.mst,218,0.0417
shrd150.mst,526,1.5723
shrd159.mst,464,1.4409
shrd200.mst,886,1.2313
shrd209.mst,946,1.1547
shrd300.mst,2093,8.5949
shrd309.mst,2089,8.2399
str1000.mst,4546,440.3734
str1001.mst,4552,532.1112
str1002.mst,6559,550.9913
str1003.mst,6511,554.3618
str1004.mst,8119,564.2349
str1005.mst,8157,553.9598
str1006.mst,9956,537.5036
str1007.mst,9956,539.1413
str1008.mst,11736,540.4912
str1009.mst,11787,560.1282
str300.mst,3761,1.5959
str301.mst,3755,1.6205
str302.mst,5291,1.6969
str303.mst,5152,1.7159
str304.mst,6608,1.6455
str305.mst,6712,1.6947
str306.mst,8130,1.7448
str307.mst,8027,1.6152
str308.mst,9289,1.5926
str309.mst,9376,1.6478
str500.mst,3965,18.216
str501.mst,4095,19.1206
str502.mst,5634,18.7296
str503.mst,5579,19.2344
str504.mst,7153,19.0641
str505.mst,7081,19.446
str506.mst,8701,18.8623
str507.mst,8638,17.9046
str508.mst,10197,18.7802
str509.mst,10161,18.279
str700.mst,4249,93.4071
str701.mst,4223,93.8911
str702.mst,5922,96.4657
str703.mst,5924,102.5318
str704.mst,7748,99.2089
str705.mst,7546,97.903
str706.mst,9159,96.1386
str707.mst,9318,100.3072
str708.mst,10729,97.0722
str709.mst,10566,95.9208
sym300.mst,965,1.1865
sym301.mst,1219,1.0885
sym302.mst,1269,1.3132
sym303.mst,1090,1.0524
sym304.mst,1686,1.0862
sym305.mst,904,1.1616
sym306.mst,976,1.0806
sym307.mst,1271,1.1599
sym308.mst,1506,1.1307
sym309.mst,1318,1.1454
sym500.mst,1105,12.9103
sym501.mst,1106,14.0191
sym502.mst,1416,12.2674
sym503.mst,1445,13.3943
sym504.mst,1241,12.7892
sym505.mst,1293,12.6032
sym506.mst,1282,14.1011
sym507.mst,1106,13.901
sym508.mst,1266,11.9383
sym509.mst,1160,12.5741
sym700.mst,1344,71.9257
sym701.mst,1265,74.5845
sym702.mst,1234,69.1963
sym703.mst,992,67.976
sym704.mst,1335,63.6496
sym705.mst,1298,70.5414
sym706.mst,977,68.649
sym707.mst,1459,68.6558
sym708.mst,1313,69.5753
sym709.mst,1044,64.5091
