Graph,Weight,Time
crd1000.mst,6154,12.4645
crd1001.mst,6963,4.7569
crd1002.mst,6791,2.86
crd1003.mst,7002,2.788
crd1004.mst,6895,2.8132
crd1005.mst,6409,3.0238
crd1006.mst,6217,3.0708
crd1007.mst,7088,2.9072
crd1008.mst,6490,2.2825
crd1009.mst,6575,2.2473
crd300.mst,3624,0.1853
crd301.mst,3268,0.179
crd302.mst,3989,0.1814
crd303.mst,3849,0.1861
crd304.mst,3918,0.192
crd305.mst,3765,0.1895
crd306.mst,3792,0.1985
crd307.mst,3917,0.2084
crd308.mst,3700,0.1998
crd309.mst,3716,0.1922
crd500.mst,4910,0.6992
crd501.mst,5111,0.5285
crd502.mst,4877,0.5277
crd503.mst,4532,0.5319
crd504.mst,4712,0.5444
crd505.mst,4875,0.6194
crd506.mst,4667,0.4676
crd507.mst,4740,0.4584
crd508.mst,4981,0.2674
crd509.mst,4587,0.2888
crd700.mst,5761,0.6096
crd701.mst,5821,0.9608
crd702.mst,6141,0.7381
crd703.mst,5845,0.6306
crd704.mst,5558,0.9016
crd705.mst,5829,0.8132
crd706.mst,6054,0.6419
crd707.mst,5956,0.8067
crd708.mst,5772,0.7371
crd709.mst,5474,0.6525
graphe.mst,218,0.0145
shrd150.mst,164,0.0784
shrd159.mst,115,0.0456
shrd200.mst,157,0.0507
shrd209.mst,196,0.0479
shrd300.mst,274,0.0978
shrd309.mst,239,0.1062
small.mst,11,0.0048
str1000.mst,4261,1.4052
str1001.mst,4261,1.2461
str1002.mst,5923,1.3222
str1003.mst,5923,1.5855
str1004.mst,7197,1.2348
str1005.mst,7197,1.5247
str1006.mst,8689,1.5366
str1007.mst,8689,1.1876
str1008.mst,10136,1.5273
str1009.mst,10159,1.1711
str300.mst,3457,0.0943
str301.mst,3448,0.1005
str302.mst,4629,0.1522
str303.mst,4546,0.1041
str304.mst,5624,0.0903
str305.mst,5713,0.1116
str306.mst,6773,0.1155
str307.mst,6684,0.1048
str308.mst,7631,0.1078
str309.mst,7775,0.1112
str500.mst,3659,0.2956
str501.mst,3779,0.4162
str502.mst,5036,0.4127
str503.mst,4959,0.5866
str504.mst,6187,0.7727
str505.mst,6163,0.4335
str506.mst,7376,0.4621
str507.mst,7292,0.3843
str508.mst,8547,0.2997
str509.mst,8529,0.3017
str700.mst,3956,0.545
str701.mst,3922,0.548
str702.mst,5297,0.507
str703.mst,5284,0.7207
str704.mst,6754,0.5016
str705.mst,6606,0.5679
str706.mst,7908,0.4955
str707.mst,8003,0.4895
str708.mst,9070,0.5165
str709.mst,8997,0.5041
sym300.mst,958,0.0925
sym301.mst,1219,0.0882
sym302.mst,1252,0.0882
sym303.mst,1090,0.0971
sym304.mst,1686,0.0883
sym305.mst,903,0.0837
sym306.mst,976,0.0837
sym307.mst,1271,0.0821
sym308.mst,1506,0.105
sym309.mst,1296,0.0825
sym500.mst,1098,0.2486
sym501.mst,1045,0.2374
sym502.mst,1416,0.2441
sym503.mst,1341,0.2429
sym504.mst,1231,0.2575
sym505.mst,1268,0.2592
sym506.mst,1221,0.2578
sym507.mst,1093,0.2496
sym508.mst,1266,0.2463
sym509.mst,1160,0.2466
sym700.mst,1177,0.753
sym701.mst,1185,0.5746
sym702.mst,1232,0.5771
sym703.mst,990,1.3966
sym704.mst,1335,0.7245
sym705.mst,1283,0.6735
sym706.mst,955,0.6348
sym707.mst,1432,0.6101
sym708.mst,1270,0.9113
sym709.mst,1044,0.7898
